2001 super output areas - lower layer,mnemonic,"22 : Publishing, printing and reproduction of recorded media",,24 : Manufacture of chemicals and chemical products,,30 : Manufacture of office machinery and computers,,"32 : Manufacture of radio, television and communication equipment and apparatus",,"33 : Manufacture of medical, precision and optical instruments, watches and clocks",,"50 : Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel",,"51 : Wholesale trade and commission trade, except of motor vehicles and motorcycles",,64 : Post and telecommunications,,"65 : Financial intermediation, except insurance and pension funding",,"66 : Insurance and pension funding, except compulsory social security",,67 : Activities auxiliary to financial intermediation,,72 : Computer and related activites,,73 : Research and development,,74 : Other business activities,,75 : Public administration and defence; compulsory social security,,80 : Education,,85 : Health and social work,,"92 : Recreational, cultural and sporting activities"
Hackney 003C,E01001804,0,,0,,0,,0,,0,,0,,75,,0,,0,,0,,0,,5,,0,,10,,0,,10,,200,,0
Hackney 004C,E01001800,0,,0,,0,,0,,0,,30,,0,,0,,0,,0,,0,,0,,0,,15,,0,,0,,20,,5
Hackney 004D,E01001824,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,5,,0,,10,,0,,0
Hackney 004E,E01001826,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,0,,40,,5
Hackney 004A,E01001725,0,,0,,0,,0,,0,,5,,10,,0,,0,,0,,0,,5,,0,,5,,0,,0,,35,,5
Hackney 004B,E01001726,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0
Hackney 005B,E01001728,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,10,,0,,0,,15,,0,,45,,50,,0
Hackney 005A,E01001722,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,10,,0,,0,,10,,10
Hackney 005F,E01001827,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,30,,30,,10
Hackney 005G,E01001828,0,,0,,0,,0,,0,,5,,5,,0,,0,,0,,0,,0,,0,,0,,0,,35,,100,,5
Hackney 005E,E01001822,0,,0,,0,,0,,0,,0,,5,,15,,0,,0,,0,,0,,0,,5,,0,,10,,25,,0
Hackney 005C,E01001797,45,,0,,5,,0,,0,,5,,50,,0,,0,,0,,0,,5,,0,,25,,0,,0,,15,,5
Hackney 005D,E01001798,0,,0,,0,,0,,0,,0,,15,,5,,0,,0,,0,,5,,0,,0,,0,,0,,15,,10
Hackney 006A,E01001723,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,25,,0,,175,,45,,5
Hackney 006B,E01001724,10,,0,,0,,0,,0,,20,,5,,5,,15,,0,,5,,5,,0,,35,,0,,125,,15,,20
Hackney 006C,E01001727,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,0,,0,,0,,5,,0,,150,,25,,0
Hackney 006D,E01001768,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,10,,0,,75,,20,,20
Hackney 006E,E01001769,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,10,,0,,0,,0,,0
Hackney 007A,E01001715,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,10,,0,,0,,5,,5
Hackney 007B,E01001716,0,,0,,0,,0,,0,,5,,5,,0,,0,,0,,0,,0,,0,,10,,0,,0,,5,,0
