2011 super output area - lower layer,mnemonic,21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,,"26 : Manufacture of computer, electronic and optical products"
Hammersmith and Fulham 019B,E01001901,0,,0
Hammersmith and Fulham 019C,E01001902,0,,0
Hammersmith and Fulham 019D,E01001903,0,,0
Hammersmith and Fulham 020A,E01001920,0,,0
Hammersmith and Fulham 020B,E01001921,0,,0
Hammersmith and Fulham 020C,E01001922,0,,0
Hammersmith and Fulham 020D,E01001923,0,,30
Hammersmith and Fulham 020E,E01001924,0,,0
Hammersmith and Fulham 021A,E01001947,0,,0
Hammersmith and Fulham 021B,E01001948,0,,0
Hammersmith and Fulham 021C,E01001949,0,,0
Hammersmith and Fulham 021D,E01001950,0,,0
Hammersmith and Fulham 021E,E01001951,0,,0
Hammersmith and Fulham 021F,E01001953,0,,0
Hammersmith and Fulham 022A,E01001904,0,,0
Hammersmith and Fulham 022B,E01001905,0,,10
Hammersmith and Fulham 022C,E01001906,0,,0
Hammersmith and Fulham 022D,E01001907,0,,0
Hammersmith and Fulham 023A,E01001935,0,,0
Hammersmith and Fulham 023C,E01001939,0,,0
Hammersmith and Fulham 023D,E01032788,0,,0
Hammersmith and Fulham 023E,E01032789,0,,0
Hammersmith and Fulham 023F,E01032790,0,,0
Hammersmith and Fulham 024A,E01001915,0,,15
Hammersmith and Fulham 024B,E01001916,0,,0
Hammersmith and Fulham 024C,E01001926,0,,0
Hammersmith and Fulham 024D,E01001952,0,,0
Hammersmith and Fulham 025A,E01001925,0,,0
Hammersmith and Fulham 025B,E01001934,0,,0
Hammersmith and Fulham 025C,E01001937,0,,0
Hammersmith and Fulham 025D,E01001938,0,,0
Haringey 001A,E01001969,0,,0
Haringey 001B,E01001971,0,,0
Haringey 001C,E01001974,0,,0
Haringey 001D,E01001975,0,,0
Haringey 002A,E01002036,0,,0
Haringey 002B,E01002037,0,,0
Haringey 002C,E01002039,0,,0
Haringey 002D,E01002040,0,,0
Haringey 004A,E01001962,0,,0
Haringey 004B,E01001970,0,,0
Haringey 004C,E01001972,0,,0
Haringey 004D,E01001973,0,,0
Haringey 005A,E01002090,0,,0
Haringey 005B,E01002093,0,,0
Haringey 005C,E01002096,0,,0
Haringey 005D,E01002097,0,,0
Haringey 006A,E01002091,0,,0
Haringey 006B,E01002092,0,,0
Haringey 006C,E01002094,0,,0
Haringey 006D,E01002095,0,,0
Haringey 007A,E01002098,0,,0
Haringey 007B,E01002101,0,,0
Haringey 007C,E01002102,0,,0
Haringey 007D,E01002105,0,,0
Haringey 008A,E01002099,0,,0
Haringey 008B,E01002100,0,,0
Haringey 008C,E01002103,0,,0
Haringey 008D,E01002104,0,,0
Haringey 009A,E01001963,0,,0
Haringey 009B,E01001964,0,,0
Haringey 009C,E01001965,0,,0
Haringey 009D,E01001966,0,,0
Haringey 010A,E01002027,0,,0
Haringey 010B,E01002028,0,,0
Haringey 010C,E01002032,0,,0
Haringey 010D,E01002033,0,,5
Haringey 011A,E01001976,0,,0
Haringey 011B,E01001977,0,,0
Haringey 011C,E01001978,0,,0
Haringey 011D,E01001979,0,,0
Haringey 012A,E01002074,0,,0
Haringey 012B,E01002077,0,,0
Haringey 012C,E01002079,0,,0
Haringey 012D,E01002081,0,,0
Haringey 013A,E01002082,0,,0
Haringey 013B,E01002086,0,,0
Haringey 013C,E01002088,0,,0
Haringey 013D,E01002089,0,,0
Haringey 014A,E01001967,0,,0
Haringey 014B,E01001968,0,,0
Haringey 014C,E01001996,0,,0
Haringey 014D,E01001997,0,,0
Haringey 015A,E01002075,0,,0
Haringey 015B,E01002076,0,,0
Haringey 015C,E01002078,0,,0
Haringey 015D,E01002080,0,,45
Haringey 016A,E01002026,0,,0
Haringey 016B,E01002029,0,,75
Haringey 016C,E01002030,0,,0
Haringey 016D,E01002031,0,,0
Haringey 017A,E01001991,0,,0
Haringey 017B,E01001992,0,,0
Haringey 017C,E01001993,0,,0
Haringey 017D,E01001995,0,,0
Haringey 018A,E01001980,0,,0
Haringey 018B,E01001981,0,,0
Haringey 018C,E01001982,0,,0
Haringey 018D,E01001983,0,,0
Haringey 019A,E01002083,0,,0
Haringey 019B,E01002084,0,,0
Haringey 019C,E01002085,0,,0
Haringey 019D,E01002087,0,,0
Haringey 020B,E01002014,0,,0
Haringey 020C,E01002015,0,,0
Haringey 020D,E01002018,0,,0
Haringey 020E,E01033085,0,,0
Haringey 020F,E01033086,0,,0
Haringey 021A,E01002020,0,,0
Haringey 021B,E01002022,0,,0
Haringey 021C,E01002023,0,,0
Haringey 021D,E01002025,0,,0
Haringey 022A,E01002013,0,,0
Haringey 022B,E01002019,0,,0
Haringey 022C,E01002021,0,,0
Haringey 022D,E01002024,0,,0
Haringey 023A,E01001998,0,,0
Haringey 023B,E01001999,0,,0
Haringey 023C,E01002003,0,,0
Haringey 023D,E01002004,0,,0
Haringey 024A,E01002067,0,,5
Haringey 024B,E01002069,0,,0
Haringey 024C,E01002070,0,,0
Haringey 024D,E01002073,0,,0
Haringey 025A,E01002066,0,,0
Haringey 025B,E01002068,0,,0
Haringey 025C,E01002071,0,,0
Haringey 025D,E01002072,0,,0
Haringey 026A,E01002043,0,,0
Haringey 026B,E01002045,0,,0
Haringey 026C,E01002046,0,,0
Haringey 026D,E01002049,0,,0
Haringey 027A,E01002042,0,,0
Haringey 027B,E01002044,0,,0
Haringey 027C,E01002047,0,,0
Haringey 027D,E01002048,0,,0
Haringey 028A,E01002016,0,,0
Haringey 028B,E01002017,0,,0
Haringey 028C,E01002059,0,,0
Haringey 028D,E01002060,0,,0
Haringey 029A,E01002050,0,,0
Haringey 029B,E01002051,0,,0
Haringey 029C,E01002052,0,,0
Haringey 029D,E01002055,0,,0
Haringey 030A,E01001994,0,,0
Haringey 030B,E01002008,0,,0
Haringey 030C,E01002010,0,,0
Haringey 030D,E01002011,0,,0
Haringey 031A,E01002000,0,,10
Haringey 031B,E01002001,0,,0
Haringey 031C,E01002002,0,,0
Haringey 031D,E01002058,0,,0
Haringey 032A,E01002053,0,,0
Haringey 032B,E01002054,0,,0
Haringey 032C,E01002056,0,,0
Haringey 032D,E01002057,0,,0
Haringey 033A,E01001984,0,,0
Haringey 033B,E01001985,0,,0
Haringey 033C,E01001987,0,,0
Haringey 033D,E01001989,0,,10
Haringey 034A,E01001986,0,,0
Haringey 034B,E01001988,0,,0
Haringey 034C,E01001990,0,,0
